Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Russia,2019,5.441,10.205,0.910,64.700,0.715,-0.116,0.848,0.691,0.200
Rwanda,2019,3.268,7.708,0.489,61.700,0.869,0.064,0.168,0.736,0.418
Saudi Arabia,2019,6.561,10.757,0.912,66.600,0.891,-0.147,,0.732,0.238
Senegal,2019,5.489,8.130,0.688,60.000,0.759,-0.019,0.796,0.789,0.332
Serbia,2019,6.241,9.808,0.903,68.600,0.753,-0.040,0.813,0.509,0.242
Sierra Leone,2019,3.447,7.449,0.611,52.400,0.718,0.074,0.874,0.513,0.438
Singapore,2019,6.378,11.486,0.925,77.100,0.938,0.027,0.070,0.723,0.138
Slovakia,2019,6.243,10.398,0.933,69.200,0.771,-0.129,0.926,0.750,0.252
Slovenia,2019,6.665,10.563,0.949,71.400,0.945,-0.102,0.785,0.679,0.228
South Africa,2019,5.035,9.432,0.848,56.900,0.738,-0.134,0.820,0.801,0.268
South Korea,2019,5.903,10.661,0.783,73.900,0.706,-0.055,0.718,0.684,0.236
Spain,2019,6.457,10.618,0.949,74.700,0.778,-0.049,0.730,0.663,0.316
Sri Lanka,2019,4.213,9.479,0.815,67.400,0.824,0.051,0.863,0.816,0.315
Swaziland,2019,4.396,9.070,0.759,51.270,0.597,-0.191,0.724,0.778,0.280
Sweden,2019,7.398,10.882,0.934,72.700,0.942,0.091,0.250,0.826,0.202
Switzerland,2019,7.694,11.136,0.949,74.400,0.913,0.036,0.294,0.798,0.171
Taiwan Province of China,2019,6.537,,0.893,,0.814,,0.718,0.860,0.093
Tajikistan,2019,5.464,8.126,0.880,64.400,,-0.045,0.490,0.729,0.178
Tanzania,2019,3.640,7.886,0.687,58.000,0.850,0.100,0.589,0.726,0.243
Thailand,2019,6.022,9.824,0.903,67.400,0.898,0.309,0.877,0.843,0.208
Togo,2019,4.179,7.375,0.539,55.100,0.617,0.065,0.737,0.590,0.444
Tunisia,2019,4.315,9.283,0.610,67.200,0.659,-0.209,0.889,0.539,0.433
Turkey,2019,4.872,10.246,0.792,67.200,0.631,-0.136,0.760,0.422,0.368
Turkmenistan,2019,5.474,9.651,0.982,62.600,0.892,0.285,,0.510,0.183
Uganda,2019,4.948,7.688,0.805,56.100,0.704,0.139,0.826,0.693,0.385
Ukraine,2019,4.702,9.458,0.883,64.900,0.715,-0.081,0.885,0.634,0.201
United Arab Emirates,2019,6.711,11.114,0.862,67.300,0.911,0.129,,0.793,0.284
United Kingdom,2019,7.157,10.751,0.943,72.500,0.854,0.271,0.485,0.775,0.251
United States,2019,6.944,11.043,0.917,68.200,0.836,0.144,0.707,0.815,0.244
Uruguay,2019,6.600,9.979,0.933,69.100,0.903,-0.095,0.599,0.889,0.222
Uzbekistan,2019,6.154,8.853,0.915,65.400,0.970,0.304,0.511,0.845,0.220
Venezuela,2019,5.081,,0.888,66.700,0.626,,0.839,0.761,0.351
Vietnam,2019,5.467,8.992,0.848,68.100,0.952,-0.126,0.788,0.751,0.186
Yemen,2019,4.197,,0.870,57.500,0.651,,0.798,0.543,0.213
Zambia,2019,3.307,8.155,0.638,55.800,0.811,0.077,0.832,0.743,0.394
Zimbabwe,2019,2.694,7.950,0.759,56.200,0.632,-0.064,0.831,0.716,0.235
